ret_5d,alpha_target
3.63,-3.2056
3.64,-3.1972
3.65,-3.1884
3.66,-3.1791
3.67,-3.1695
3.68,-3.1594
3.69,-3.1489
3.7,-3.138
3.71,-3.1266
3.72,-3.1149
3.73,-3.1027
3.74,-3.0901
3.75,-3.0771
3.76,-3.0637
3.77,-3.0498
3.78,-3.0355
3.79,-3.0208
3.8,-3.0057
3.81,-2.9901
3.82,-2.9741
3.83,-2.9578
3.84,-2.9409
3.85,-2.9237
3.86,-2.906
3.87,-2.8879
3.88,-2.8694
3.89,-2.8505
3.9,-2.8311
3.91,-2.8114
3.92,-2.7912
3.93,-2.7706
3.94,-2.7495
3.95,-2.7281
3.96,-2.7062
3.97,-2.6839
3.98,-2.6612
3.99,-2.6381
4.0,-2.6146
4.01,-2.5906
4.02,-2.5663
4.03,-2.5415
4.04,-2.5163
4.05,-2.4908
4.06,-2.4648
4.07,-2.4384
4.08,-2.4116
4.09,-2.3844
4.1,-2.3568
4.11,-2.3288
4.12,-2.3004
4.13,-2.2716
4.14,-2.2424
4.15,-2.2128
4.16,-2.1828
4.17,-2.1525
4.18,-2.1217
4.19,-2.0906
4.2,-2.0591
4.21,-2.0272
4.22,-1.9949
4.23,-1.9623
4.24,-1.9293
4.25,-1.8959
4.26,-1.8621
4.27,-1.828
4.28,-1.7935
4.29,-1.7586
4.3,-1.7234
4.31,-1.6879
4.32,-1.652
4.33,-1.6157
4.34,-1.5791
4.35,-1.5421
4.36,-1.5048
4.37,-1.4672
4.38,-1.4292
4.39,-1.3909
4.4,-1.3523
4.41,-1.3133
4.42,-1.274
4.43,-1.2344
4.44,-1.1945
4.45,-1.1543
4.46,-1.1137
4.47,-1.0729
4.48,-1.0318
4.49,-0.9903
4.5,-0.9486
4.51,-0.9066
4.52,-0.8642
4.53,-0.8216
4.54,-0.7788
4.55,-0.7356
4.56,-0.6922
4.57,-0.6485
4.58,-0.6046
4.59,-0.5604
4.6,-0.5159
4.61,-0.4712
4.62,-0.4262
4.63,-0.381
4.64,-0.3356
4.65,-0.2899
4.66,-0.244
4.67,-0.1979
4.68,-0.1516
4.69,-0.105
4.7,-0.0582
4.71,-0.0113
4.72,0.0359
4.73,0.0833
4.74,0.1309
4.75,0.1786
4.76,0.2265
4.77,0.2747
4.78,0.3229
4.79,0.3714
4.8,0.42
4.81,0.4688
4.82,0.5177
4.83,0.5668
4.84,0.616
4.85,0.6653
4.86,0.7148
4.87,0.7644
4.88,0.8141
4.89,0.864
4.9,0.9139
4.91,0.964
4.92,1.0141
4.93,1.0644
4.94,1.1147
4.95,1.1651
4.96,1.2156
4.97,1.2662
4.98,1.3169
4.99,1.3676
5.0,1.4183
5.01,1.4691
5.02,1.52
5.03,1.5709
5.04,1.6218
5.05,1.6727
5.06,1.7237
5.07,1.7747
5.08,1.8257
5.09,1.8767
5.1,1.9277
5.11,1.9787
5.12,2.0297
5.13,2.0806
5.14,2.1315
5.15,2.1825
5.16,2.2333
5.17,2.2841
5.18,2.3349
5.19,2.3856
5.2,2.4363
5.21,2.4869
5.22,2.5374
5.23,2.5878
5.24,2.6382
5.25,2.6884
5.26,2.7386
5.27,2.7887
5.28,2.8386
5.29,2.8885
5.3,2.9382
5.31,2.9878
5.32,3.0372
5.33,3.0865
5.34,3.1357
5.35,3.1847
5.36,3.2336
5.37,3.2823
5.38,3.3308
5.39,3.3792
5.4,3.4273
5.41,3.4753
5.42,3.5231
5.43,3.5707
5.44,3.6181
5.45,3.6652
5.46,3.7122
5.47,3.7589
5.48,3.8054
5.49,3.8517
5.5,3.8977
5.51,3.9434
5.52,3.989
5.53,4.0342
5.54,4.0792
5.55,4.1239
5.56,4.1683
5.57,4.2125
5.58,4.2563
5.59,4.2999
5.6,4.3432
5.61,4.3861
5.62,4.4288
5.63,4.4711
5.64,4.5131
5.65,4.5547
5.66,4.5961
5.67,4.637
5.68,4.6777
5.69,4.7179
5.7,4.7579
5.71,4.7974
5.72,4.8366
5.73,4.8754
5.74,4.9138
5.75,4.9519
5.76,4.9895
5.77,5.0267
5.78,5.0636
5.79,5.1
5.8,5.136
5.81,5.1716
5.82,5.2068
5.83,5.2415
5.84,5.2758
5.85,5.3097
5.86,5.3431
5.87,5.376
5.88,5.4085
5.89,5.4406
5.9,5.4721
5.91,5.5032
5.92,5.5338
5.93,5.564
5.94,5.5936
5.95,5.6228
5.96,5.6514
5.97,5.6796
5.98,5.7073
5.99,5.7344
6.0,5.761
6.01,5.7871
6.02,5.8127
6.03,5.8378
6.04,5.8623
6.05,5.8863
6.06,5.9097
6.07,5.9326
6.08,5.9549
6.09,5.9767
6.1,5.9979
6.11,6.0186
6.12,6.0387
6.13,6.0582
6.14,6.0772
6.15,6.0955
6.16,6.1133
6.17,6.1305
6.18,6.1471
6.19,6.1631
6.2,6.1786
6.21,6.1934
6.22,6.2076
6.23,6.2212
6.24,6.2342
6.25,6.2466
6.26,6.2583
6.27,6.2695
6.28,6.28
6.29,6.2899
6.3,6.2991
6.31,6.3077
6.32,6.3157
6.33,6.3231
6.34,6.3298
6.35,6.3358
6.36,6.3412
6.37,6.346
6.38,6.3501
6.39,6.3536
6.4,6.3564
6.41,6.3585
6.42,6.36
6.43,6.3608
6.44,6.361
6.45,6.3605
6.46,6.3593
6.47,6.3574
6.48,6.3549
6.49,6.3517
6.5,6.3478
6.51,6.3433
6.52,6.338
6.53,6.3321
6.54,6.3255
6.55,6.3182
6.56,6.3103
6.57,6.3016
6.58,6.2923
6.59,6.2822
6.6,6.2715
6.61,6.2601
6.62,6.248
6.63,6.2353
6.64,6.2218
6.65,6.2076
6.66,6.1927
6.67,6.1772
6.68,6.1609
6.69,6.144
6.7,6.1264
6.71,6.108
6.72,6.089
6.73,6.0693
6.74,6.0489
6.75,6.0278
6.76,6.006
6.77,5.9835
6.78,5.9603
6.79,5.9365
6.8,5.9119
6.81,5.8867
6.82,5.8607
6.83,5.8341
6.84,5.8068
6.85,5.7788
6.86,5.7501
6.87,5.7207
6.88,5.6907
6.89,5.6599
6.9,5.6285
6.91,5.5964
6.92,5.5636
6.93,5.5302
6.94,5.4961
6.95,5.4613
6.96,5.4258
6.97,5.3897
6.98,5.3529
6.99,5.3154
7.0,5.2773
7.01,5.2385
7.02,5.1991
7.03,5.159
7.04,5.1183
7.05,5.0769
7.06,5.0348
7.07,4.9922
7.08,4.9488
7.09,4.9049
7.1,4.8603
7.11,4.8151
7.12,4.7692
7.13,4.7227
7.14,4.6756
7.15,4.6279
7.16,4.5796
7.17,4.5306
7.18,4.4811
7.19,4.4309
7.2,4.3801
7.21,4.3288
7.22,4.2768
7.23,4.2243
7.24,4.1712
7.25,4.1175
7.26,4.0632
7.27,4.0083
7.28,3.9529
7.29,3.8969
7.3,3.8404
7.31,3.7833
7.32,3.7256
7.33,3.6674
7.34,3.6087
7.35,3.5494
7.36,3.4896
7.37,3.4293
7.38,3.3685
7.39,3.3071
7.4,3.2453
7.41,3.1829
7.42,3.12
7.43,3.0566
7.44,2.9928
7.45,2.9285
7.46,2.8637
7.47,2.7984
7.48,2.7326
7.49,2.6664
7.5,2.5998
7.51,2.5327
7.52,2.4651
7.53,2.3971
7.54,2.3287
7.55,2.2599
7.56,2.1906
7.57,2.121
7.58,2.0509
7.59,1.9804
7.6,1.9096
7.61,1.8383
7.62,1.7667
7.63,1.6947
7.64,1.6224
7.65,1.5497
7.66,1.4766
7.67,1.4032
7.68,1.3294
7.69,1.2554
7.7,1.181
7.71,1.1063
7.72,1.0312
7.73,0.9559
7.74,0.8803
7.75,0.8044
7.76,0.7282
7.77,0.6518
7.78,0.5751
7.79,0.4981
7.8,0.4209
7.81,0.3434
7.82,0.2657
7.83,0.1878
7.84,0.1096
7.85,0.0313
7.86,-0.0473
7.87,-0.1261
7.88,-0.205
7.89,-0.2841
7.9,-0.3634
7.91,-0.4429
7.92,-0.5225
7.93,-0.6022
7.94,-0.6821
7.95,-0.7622
7.96,-0.8423
7.97,-0.9226
7.98,-1.003
7.99,-1.0834
8.0,-1.164
8.01,-1.2446
8.02,-1.3254
8.03,-1.4061
8.04,-1.487
8.05,-1.5679
8.06,-1.6488
8.07,-1.7297
8.08,-1.8107
8.09,-1.8917
8.1,-1.9727
8.11,-2.0537
8.12,-2.1347
8.13,-2.2156
8.14,-2.2966
8.15,-2.3775
8.16,-2.4583
8.17,-2.5391
8.18,-2.6198
8.19,-2.7005
8.2,-2.7811
8.21,-2.8616
8.22,-2.9419
8.23,-3.0222
8.24,-3.1024
8.25,-3.1824
8.26,-3.2623
8.27,-3.3421
8.28,-3.4217
8.29,-3.5011
8.3,-3.5804
8.31,-3.6595
8.32,-3.7384
8.33,-3.8172
8.34,-3.8957
8.35,-3.974
8.36,-4.0521
8.37,-4.1299
8.38,-4.2075
8.39,-4.2849
8.4,-4.362
8.41,-4.4389
8.42,-4.5154
8.43,-4.5917
8.44,-4.6677
8.45,-4.7434
8.46,-4.8188
8.47,-4.8939
8.48,-4.9686
8.49,-5.043
8.5,-5.1171
8.51,-5.1908
8.52,-5.2642
8.53,-5.3372
8.54,-5.4098
8.55,-5.482
8.56,-5.5538
8.57,-5.6252
8.58,-5.6962
8.59,-5.7668
8.6,-5.837
8.61,-5.9067
8.62,-5.976
8.63,-6.0448
8.64,-6.1132
8.65,-6.1811
8.66,-6.2485
8.67,-6.3154
8.68,-6.3819
8.69,-6.4478
8.7,-6.5132
8.71,-6.5781
8.72,-6.6425
8.73,-6.7063
8.74,-6.7697
8.75,-6.8324
8.76,-6.8946
8.77,-6.9562
8.78,-7.0173
8.79,-7.0777
8.8,-7.1376
8.81,-7.1969
8.82,-7.2556
8.83,-7.3137
8.84,-7.3711
8.85,-7.4279
8.86,-7.4841
8.87,-7.5397
8.88,-7.5946
8.89,-7.6488
8.9,-7.7024
8.91,-7.7553
8.92,-7.8075
8.93,-7.8591
8.94,-7.9099
8.95,-7.9601
8.96,-8.0095
8.97,-8.0583
8.98,-8.1063
8.99,-8.1536
9.0,-8.2002
9.01,-8.246
9.02,-8.2911
9.03,-8.3354
9.04,-8.379
9.05,-8.4218
9.06,-8.4639
9.07,-8.5052
9.08,-8.5456
9.09,-8.5854
9.1,-8.6243
9.11,-8.6624
9.12,-8.6997
9.13,-8.7362
9.14,-8.7719
9.15,-8.8067
9.16,-8.8408
9.17,-8.874
9.18,-8.9064
9.19,-8.9379
9.2,-8.9686
9.21,-8.9984
9.22,-9.0274
9.23,-9.0555
9.24,-9.0827
9.25,-9.1091
9.26,-9.1346
9.27,-9.1592
9.28,-9.1829
9.29,-9.2058
9.3,-9.2277
9.31,-9.2487
9.32,-9.2689
9.33,-9.2881
9.34,-9.3065
9.35,-9.3239
9.36,-9.3404
9.37,-9.3559
9.38,-9.3706
9.39,-9.3843
9.4,-9.3971
9.41,-9.409
9.42,-9.4199
9.43,-9.4299
9.44,-9.4389
9.45,-9.447
9.46,-9.4541
9.47,-9.4603
9.48,-9.4655
9.49,-9.4698
9.5,-9.4731
9.51,-9.4755
9.52,-9.4769
9.53,-9.4773
9.54,-9.4767
9.55,-9.4752
9.56,-9.4727
9.57,-9.4693
9.58,-9.4648
9.59,-9.4594
9.6,-9.453
9.61,-9.4456
9.62,-9.4373
9.63,-9.4279
9.64,-9.4176
9.65,-9.4063
9.66,-9.394
9.67,-9.3807
9.68,-9.3664
9.69,-9.3512
9.7,-9.3349
9.71,-9.3177
9.72,-9.2995
9.73,-9.2803
9.74,-9.2601
9.75,-9.2389
9.76,-9.2167
9.77,-9.1936
9.78,-9.1694
9.79,-9.1443
9.8,-9.1182
9.81,-9.0911
9.82,-9.063
9.83,-9.0339
9.84,-9.0039
9.85,-8.9728
9.86,-8.9408
9.87,-8.9078
9.88,-8.8739
9.89,-8.8389
9.9,-8.803
9.91,-8.7661
9.92,-8.7282
9.93,-8.6894
9.94,-8.6496
9.95,-8.6089
9.96,-8.5671
9.97,-8.5245
9.98,-8.4808
9.99,-8.4363
