v,E_kinetic
66.7,2224.445
66.8,2231.12
66.9,2237.805
67.0,2244.5
67.1,2251.205
67.2,2257.92
67.3,2264.645
67.4,2271.38
67.5,2278.125
67.6,2284.88
67.7,2291.645
67.8,2298.42
67.9,2305.205
68.0,2312.0
68.1,2318.805
68.2,2325.62
68.3,2332.445
68.4,2339.28
68.5,2346.125
68.6,2352.98
68.7,2359.845
68.8,2366.72
68.9,2373.605
69.0,2380.5
69.1,2387.405
69.2,2394.32
69.3,2401.245
69.4,2408.18
69.5,2415.125
69.6,2422.08
69.7,2429.045
69.8,2436.02
69.9,2443.005
70.0,2450.0
70.1,2457.005
70.2,2464.02
70.3,2471.045
70.4,2478.08
70.5,2485.125
70.6,2492.18
70.7,2499.245
70.8,2506.32
70.9,2513.405
71.0,2520.5
71.1,2527.605
71.2,2534.72
71.3,2541.845
71.4,2548.98
71.5,2556.125
71.6,2563.28
71.7,2570.445
71.8,2577.62
71.9,2584.805
72.0,2592.0
72.1,2599.205
72.2,2606.42
72.3,2613.645
72.4,2620.88
72.5,2628.125
72.6,2635.38
72.7,2642.645
72.8,2649.92
72.9,2657.205
73.0,2664.5
73.1,2671.805
73.2,2679.12
73.3,2686.445
73.4,2693.78
73.5,2701.125
73.6,2708.48
73.7,2715.845
73.8,2723.22
73.9,2730.605
74.0,2738.0
74.1,2745.405
74.2,2752.82
74.3,2760.245
74.4,2767.68
74.5,2775.125
74.6,2782.58
74.7,2790.045
74.8,2797.52
74.9,2805.005
75.0,2812.5
75.1,2820.005
75.2,2827.52
75.3,2835.045
75.4,2842.58
75.5,2850.125
75.6,2857.68
75.7,2865.245
75.8,2872.82
75.9,2880.405
76.0,2888.0
76.1,2895.605
76.2,2903.22
76.3,2910.845
76.4,2918.48
76.5,2926.125
76.6,2933.78
76.7,2941.445
76.8,2949.12
76.9,2956.805
77.0,2964.5
77.1,2972.205
77.2,2979.92
77.3,2987.645
77.4,2995.38
77.5,3003.125
77.6,3010.88
77.7,3018.645
77.8,3026.42
77.9,3034.205
78.0,3042.0
78.1,3049.805
78.2,3057.62
78.3,3065.445
78.4,3073.28
78.5,3081.125
78.6,3088.98
78.7,3096.845
78.8,3104.72
78.9,3112.605
79.0,3120.5
79.1,3128.405
79.2,3136.32
79.3,3144.245
79.4,3152.18
79.5,3160.125
79.6,3168.08
79.7,3176.045
79.8,3184.02
79.9,3192.005
80.0,3200.0
80.1,3208.005
80.2,3216.02
80.3,3224.045
80.4,3232.08
80.5,3240.125
80.6,3248.18
80.7,3256.245
80.8,3264.32
80.9,3272.405
81.0,3280.5
81.1,3288.605
81.2,3296.72
81.3,3304.845
81.4,3312.98
81.5,3321.125
81.6,3329.28
81.7,3337.445
81.8,3345.62
81.9,3353.805
82.0,3362.0
82.1,3370.205
82.2,3378.42
82.3,3386.645
82.4,3394.88
82.5,3403.125
82.6,3411.38
82.7,3419.645
82.8,3427.92
82.9,3436.205
83.0,3444.5
83.1,3452.805
83.2,3461.12
83.3,3469.445
83.4,3477.78
83.5,3486.125
83.6,3494.48
83.7,3502.845
83.8,3511.22
83.9,3519.605
84.0,3528.0
84.1,3536.405
84.2,3544.82
84.3,3553.245
84.4,3561.68
84.5,3570.125
84.6,3578.58
84.7,3587.045
84.8,3595.52
84.9,3604.005
85.0,3612.5
85.1,3621.005
85.2,3629.52
85.3,3638.045
85.4,3646.58
85.5,3655.125
85.6,3663.68
85.7,3672.245
85.8,3680.82
85.9,3689.405
86.0,3698.0
86.1,3706.605
86.2,3715.22
86.3,3723.845
86.4,3732.48
86.5,3741.125
86.6,3749.78
86.7,3758.445
86.8,3767.12
86.9,3775.805
87.0,3784.5
87.1,3793.205
87.2,3801.92
87.3,3810.645
87.4,3819.38
87.5,3828.125
87.6,3836.88
87.7,3845.645
87.8,3854.42
87.9,3863.205
88.0,3872.0
88.1,3880.805
88.2,3889.62
88.3,3898.445
88.4,3907.28
88.5,3916.125
88.6,3924.98
88.7,3933.845
88.8,3942.72
88.9,3951.605
89.0,3960.5
89.1,3969.405
89.2,3978.32
89.3,3987.245
89.4,3996.18
89.5,4005.125
89.6,4014.08
89.7,4023.045
89.8,4032.02
89.9,4041.005
90.0,4050.0
90.1,4059.005
90.2,4068.02
90.3,4077.045
90.4,4086.08
90.5,4095.125
90.6,4104.18
90.7,4113.245
90.8,4122.32
90.9,4131.405
91.0,4140.5
91.1,4149.605
91.2,4158.72
91.3,4167.845
91.4,4176.98
91.5,4186.125
91.6,4195.28
91.7,4204.445
91.8,4213.62
91.9,4222.805
92.0,4232.0
92.1,4241.205
92.2,4250.42
92.3,4259.645
92.4,4268.88
92.5,4278.125
92.6,4287.38
92.7,4296.645
92.8,4305.92
92.9,4315.205
93.0,4324.5
93.1,4333.805
93.2,4343.12
93.3,4352.445
93.4,4361.78
93.5,4371.125
93.6,4380.48
93.7,4389.845
93.8,4399.22
93.9,4408.605
94.0,4418.0
94.1,4427.405
94.2,4436.82
94.3,4446.245
94.4,4455.68
94.5,4465.125
94.6,4474.58
94.7,4484.045
94.8,4493.52
94.9,4503.005
95.0,4512.5
95.1,4522.005
95.2,4531.52
95.3,4541.045
95.4,4550.58
95.5,4560.125
95.6,4569.68
95.7,4579.245
95.8,4588.82
95.9,4598.405
96.0,4608.0
96.1,4617.605
96.2,4627.22
96.3,4636.845
96.4,4646.48
96.5,4656.125
96.6,4665.78
96.7,4675.445
96.8,4685.12
96.9,4694.805
97.0,4704.5
97.1,4714.205
97.2,4723.92
97.3,4733.645
97.4,4743.38
97.5,4753.125
97.6,4762.88
97.7,4772.645
97.8,4782.42
97.9,4792.205
98.0,4802.0
98.1,4811.805
98.2,4821.62
98.3,4831.445
98.4,4841.28
98.5,4851.125
98.6,4860.98
98.7,4870.845
98.8,4880.72
98.9,4890.605
99.0,4900.5
99.1,4910.405
99.2,4920.32
99.3,4930.245
99.4,4940.18
99.5,4950.125
99.6,4960.08
99.7,4970.045
99.8,4980.02
99.9,4990.005
