price,demand
18.8,15.3191
18.9,15.291
19.0,15.2632
19.1,15.2356
19.2,15.2083
19.3,15.1813
19.4,15.1546
19.5,15.1282
19.6,15.102
19.7,15.0761
19.8,15.0505
19.9,15.0251
20.0,15.0
20.1,14.9751
20.2,14.9505
20.3,14.9261
20.4,14.902
20.5,14.878
20.6,14.8544
20.7,14.8309
20.8,14.8077
20.9,14.7847
21.0,14.7619
21.1,14.7393
21.2,14.717
21.3,14.6948
21.4,14.6729
21.5,14.6512
21.6,14.6296
21.7,14.6083
21.8,14.5872
21.9,14.5662
22.0,14.5455
22.1,14.5249
22.2,14.5045
22.3,14.4843
22.4,14.4643
22.5,14.4444
22.6,14.4248
22.7,14.4053
22.8,14.386
22.9,14.3668
23.0,14.3478
23.1,14.329
23.2,14.3103
23.3,14.2918
23.4,14.2735
23.5,14.2553
23.6,14.2373
23.7,14.2194
23.8,14.2017
23.9,14.1841
24.0,14.1667
24.1,14.1494
24.2,14.1322
24.3,14.1152
24.4,14.0984
24.5,14.0816
24.6,14.065
24.7,14.0486
24.8,14.0323
24.9,14.0161
25.0,14.0
25.1,13.9841
25.2,13.9683
25.3,13.9526
25.4,13.937
25.5,13.9216
25.6,13.9062
25.7,13.8911
25.8,13.876
25.9,13.861
26.0,13.8462
26.1,13.8314
26.2,13.8168
26.3,13.8023
26.4,13.7879
26.5,13.7736
26.6,13.7594
26.7,13.7453
26.8,13.7313
26.9,13.7175
27.0,13.7037
27.1,13.69
27.2,13.6765
27.3,13.663
27.4,13.6496
27.5,13.6364
27.6,13.6232
27.7,13.6101
27.8,13.5971
27.9,13.5842
28.0,13.5714
28.1,13.5587
28.2,13.5461
28.3,13.5336
28.4,13.5211
28.5,13.5088
28.6,13.4965
28.7,13.4843
28.8,13.4722
28.9,13.4602
29.0,13.4483
29.1,13.4364
29.2,13.4247
29.3,13.413
29.4,13.4014
29.5,13.3898
29.6,13.3784
29.7,13.367
29.8,13.3557
29.9,13.3445
30.0,13.3333
30.1,13.3223
30.2,13.3113
30.3,13.3003
30.4,13.2895
30.5,13.2787
30.6,13.268
30.7,13.2573
30.8,13.2468
30.9,13.2362
31.0,13.2258
31.1,13.2154
31.2,13.2051
31.3,13.1949
31.4,13.1847
31.5,13.1746
31.6,13.1646
31.7,13.1546
31.8,13.1447
31.9,13.1348
32.0,13.125
32.1,13.1153
32.2,13.1056
32.3,13.096
32.4,13.0864
32.5,13.0769
32.6,13.0675
32.7,13.0581
32.8,13.0488
32.9,13.0395
33.0,13.0303
33.1,13.0211
33.2,13.012
33.3,13.003
33.4,12.994
33.5,12.9851
33.6,12.9762
33.7,12.9674
33.8,12.9586
33.9,12.9499
34.0,12.9412
34.1,12.9326
34.2,12.924
34.3,12.9155
34.4,12.907
34.5,12.8986
34.6,12.8902
34.7,12.8818
34.8,12.8736
34.9,12.8653
35.0,12.8571
35.1,12.849
35.2,12.8409
35.3,12.8329
35.4,12.8249
35.5,12.8169
35.6,12.809
35.7,12.8011
35.8,12.7933
35.9,12.7855
36.0,12.7778
36.1,12.7701
36.2,12.7624
36.3,12.7548
36.4,12.7473
36.5,12.7397
36.6,12.7322
36.7,12.7248
36.8,12.7174
36.9,12.71
37.0,12.7027
37.1,12.6954
37.2,12.6882
37.3,12.681
37.4,12.6738
37.5,12.6667
37.6,12.6596
37.7,12.6525
37.8,12.6455
37.9,12.6385
38.0,12.6316
38.1,12.6247
38.2,12.6178
38.3,12.611
38.4,12.6042
38.5,12.5974
38.6,12.5907
38.7,12.584
38.8,12.5773
38.9,12.5707
39.0,12.5641
39.1,12.5575
39.2,12.551
39.3,12.5445
39.4,12.5381
39.5,12.5316
39.6,12.5253
39.7,12.5189
39.8,12.5126
39.9,12.5063
40.0,12.5
40.1,12.4938
40.2,12.4876
40.3,12.4814
40.4,12.4752
40.5,12.4691
40.6,12.4631
40.7,12.457
40.8,12.451
40.9,12.445
41.0,12.439
41.1,12.4331
41.2,12.4272
41.3,12.4213
41.4,12.4155
41.5,12.4096
41.6,12.4038
41.7,12.3981
41.8,12.3923
41.9,12.3866
42.0,12.381
42.1,12.3753
42.2,12.3697
42.3,12.3641
42.4,12.3585
42.5,12.3529
42.6,12.3474
42.7,12.3419
42.8,12.3364
42.9,12.331
43.0,12.3256
43.1,12.3202
43.2,12.3148
43.3,12.3095
43.4,12.3041
43.5,12.2989
43.6,12.2936
43.7,12.2883
43.8,12.2831
43.9,12.2779
44.0,12.2727
44.1,12.2676
44.2,12.2624
44.3,12.2573
44.4,12.2523
44.5,12.2472
44.6,12.2422
44.7,12.2371
44.8,12.2321
44.9,12.2272
45.0,12.2222
45.1,12.2173
45.2,12.2124
45.3,12.2075
45.4,12.2026
45.5,12.1978
45.6,12.193
45.7,12.1882
45.8,12.1834
45.9,12.1786
46.0,12.1739
46.1,12.1692
46.2,12.1645
46.3,12.1598
46.4,12.1552
46.5,12.1505
46.6,12.1459
46.7,12.1413
46.8,12.1368
46.9,12.1322
47.0,12.1277
47.1,12.1231
47.2,12.1186
47.3,12.1142
47.4,12.1097
47.5,12.1053
47.6,12.1008
47.7,12.0964
47.8,12.0921
47.9,12.0877
48.0,12.0833
48.1,12.079
48.2,12.0747
48.3,12.0704
48.4,12.0661
48.5,12.0619
48.6,12.0576
48.7,12.0534
48.8,12.0492
48.9,12.045
49.0,12.0408
49.1,12.0367
49.2,12.0325
49.3,12.0284
49.4,12.0243
49.5,12.0202
49.6,12.0161
49.7,12.0121
49.8,12.008
49.9,12.004
50.0,12.0
50.1,11.996
50.2,11.992
50.3,11.9881
50.4,11.9841
50.5,11.9802
50.6,11.9763
50.7,11.9724
50.8,11.9685
50.9,11.9646
51.0,11.9608
51.1,11.9569
51.2,11.9531
51.3,11.9493
51.4,11.9455
51.5,11.9417
51.6,11.938
51.7,11.9342
51.8,11.9305
51.9,11.9268
52.0,11.9231
52.1,11.9194
52.2,11.9157
52.3,11.912
52.4,11.9084
52.5,11.9048
52.6,11.9011
52.7,11.8975
52.8,11.8939
52.9,11.8904
53.0,11.8868
53.1,11.8832
53.2,11.8797
53.3,11.8762
53.4,11.8727
53.5,11.8692
53.6,11.8657
53.7,11.8622
53.8,11.8587
53.9,11.8553
54.0,11.8519
54.1,11.8484
54.2,11.845
54.3,11.8416
54.4,11.8382
54.5,11.8349
54.6,11.8315
54.7,11.8282
54.8,11.8248
54.9,11.8215
55.0,11.8182
55.1,11.8149
55.2,11.8116
55.3,11.8083
55.4,11.8051
55.5,11.8018
55.6,11.7986
55.7,11.7953
55.8,11.7921
55.9,11.7889
56.0,11.7857
56.1,11.7825
56.2,11.7794
56.3,11.7762
56.4,11.773
56.5,11.7699
56.6,11.7668
56.7,11.7637
56.8,11.7606
56.9,11.7575
57.0,11.7544
57.1,11.7513
57.2,11.7483
57.3,11.7452
57.4,11.7422
57.5,11.7391
57.6,11.7361
57.7,11.7331
57.8,11.7301
57.9,11.7271
58.0,11.7241
58.1,11.7212
58.2,11.7182
58.3,11.7153
58.4,11.7123
58.5,11.7094
58.6,11.7065
58.7,11.7036
58.8,11.7007
58.9,11.6978
59.0,11.6949
59.1,11.692
59.2,11.6892
59.3,11.6863
59.4,11.6835
59.5,11.6807
59.6,11.6779
59.7,11.675
59.8,11.6722
59.9,11.6694
60.0,11.6667
60.1,11.6639
60.2,11.6611
60.3,11.6584
60.4,11.6556
60.5,11.6529
60.6,11.6502
60.7,11.6474
60.8,11.6447
60.9,11.642
61.0,11.6393
61.1,11.6367
61.2,11.634
61.3,11.6313
61.4,11.6287
61.5,11.626
61.6,11.6234
61.7,11.6207
61.8,11.6181
61.9,11.6155
62.0,11.6129
62.1,11.6103
62.2,11.6077
62.3,11.6051
62.4,11.6026
62.5,11.6
62.6,11.5974
62.7,11.5949
62.8,11.5924
62.9,11.5898
63.0,11.5873
63.1,11.5848
63.2,11.5823
63.3,11.5798
63.4,11.5773
63.5,11.5748
63.6,11.5723
63.7,11.5699
63.8,11.5674
63.9,11.5649
64.0,11.5625
64.1,11.5601
64.2,11.5576
64.3,11.5552
64.4,11.5528
64.5,11.5504
64.6,11.548
64.7,11.5456
64.8,11.5432
64.9,11.5408
65.0,11.5385
65.1,11.5361
65.2,11.5337
65.3,11.5314
65.4,11.5291
65.5,11.5267
65.6,11.5244
65.7,11.5221
65.8,11.5198
65.9,11.5175
66.0,11.5152
66.1,11.5129
66.2,11.5106
66.3,11.5083
66.4,11.506
66.5,11.5038
66.6,11.5015
66.7,11.4993
66.8,11.497
66.9,11.4948
67.0,11.4925
67.1,11.4903
67.2,11.4881
67.3,11.4859
67.4,11.4837
67.5,11.4815
67.6,11.4793
67.7,11.4771
67.8,11.4749
67.9,11.4728
68.0,11.4706
68.1,11.4684
68.2,11.4663
68.3,11.4641
68.4,11.462
68.5,11.4599
68.6,11.4577
68.7,11.4556
68.8,11.4535
68.9,11.4514
69.0,11.4493
69.1,11.4472
69.2,11.4451
69.3,11.443
69.4,11.4409
69.5,11.4388
69.6,11.4368
69.7,11.4347
69.8,11.4327
69.9,11.4306
70.0,11.4286
70.1,11.4265
70.2,11.4245
70.3,11.4225
70.4,11.4205
70.5,11.4184
70.6,11.4164
70.7,11.4144
70.8,11.4124
70.9,11.4104
71.0,11.4085
71.1,11.4065
71.2,11.4045
71.3,11.4025
71.4,11.4006
71.5,11.3986
71.6,11.3966
71.7,11.3947
71.8,11.3928
71.9,11.3908
72.0,11.3889
72.1,11.387
72.2,11.385
72.3,11.3831
72.4,11.3812
72.5,11.3793
72.6,11.3774
72.7,11.3755
72.8,11.3736
72.9,11.3717
73.0,11.3699
73.1,11.368
73.2,11.3661
73.3,11.3643
73.4,11.3624
73.5,11.3605
73.6,11.3587
73.7,11.3569
73.8,11.355
73.9,11.3532
74.0,11.3514
74.1,11.3495
74.2,11.3477
74.3,11.3459
74.4,11.3441
74.5,11.3423
74.6,11.3405
74.7,11.3387
74.8,11.3369
74.9,11.3351
75.0,11.3333
75.1,11.3316
75.2,11.3298
75.3,11.328
75.4,11.3263
75.5,11.3245
75.6,11.3228
75.7,11.321
75.8,11.3193
75.9,11.3175
76.0,11.3158
76.1,11.3141
76.2,11.3123
76.3,11.3106
76.4,11.3089
76.5,11.3072
76.6,11.3055
76.7,11.3038
76.8,11.3021
76.9,11.3004
77.0,11.2987
77.1,11.297
77.2,11.2953
77.3,11.2937
77.4,11.292
77.5,11.2903
77.6,11.2887
77.7,11.287
77.8,11.2853
77.9,11.2837
78.0,11.2821
78.1,11.2804
78.2,11.2788
78.3,11.2771
78.4,11.2755
78.5,11.2739
78.6,11.2723
78.7,11.2706
78.8,11.269
78.9,11.2674
79.0,11.2658
79.1,11.2642
79.2,11.2626
79.3,11.261
79.4,11.2594
79.5,11.2579
79.6,11.2563
79.7,11.2547
79.8,11.2531
79.9,11.2516
80.0,11.25
80.1,11.2484
80.2,11.2469
80.3,11.2453
80.4,11.2438
80.5,11.2422
80.6,11.2407
80.7,11.2392
80.8,11.2376
80.9,11.2361
81.0,11.2346
81.1,11.233
81.2,11.2315
81.3,11.23
81.4,11.2285
81.5,11.227
81.6,11.2255
81.7,11.224
81.8,11.2225
81.9,11.221
82.0,11.2195
82.1,11.218
82.2,11.2165
82.3,11.2151
82.4,11.2136
82.5,11.2121
82.6,11.2107
82.7,11.2092
82.8,11.2077
82.9,11.2063
83.0,11.2048
83.1,11.2034
83.2,11.2019
83.3,11.2005
83.4,11.199
83.5,11.1976
83.6,11.1962
83.7,11.1947
83.8,11.1933
83.9,11.1919
84.0,11.1905
84.1,11.1891
84.2,11.1876
84.3,11.1862
84.4,11.1848
84.5,11.1834
84.6,11.182
84.7,11.1806
84.8,11.1792
84.9,11.1779
85.0,11.1765
85.1,11.1751
85.2,11.1737
85.3,11.1723
85.4,11.171
85.5,11.1696
85.6,11.1682
85.7,11.1669
85.8,11.1655
85.9,11.1641
86.0,11.1628
86.1,11.1614
86.2,11.1601
86.3,11.1587
86.4,11.1574
86.5,11.1561
86.6,11.1547
86.7,11.1534
86.8,11.1521
86.9,11.1507
87.0,11.1494
87.1,11.1481
87.2,11.1468
87.3,11.1455
87.4,11.1442
87.5,11.1429
87.6,11.1416
87.7,11.1403
87.8,11.139
87.9,11.1377
88.0,11.1364
88.1,11.1351
88.2,11.1338
88.3,11.1325
88.4,11.1312
88.5,11.1299
88.6,11.1287
88.7,11.1274
88.8,11.1261
88.9,11.1249
89.0,11.1236
89.1,11.1223
89.2,11.1211
89.3,11.1198
89.4,11.1186
89.5,11.1173
89.6,11.1161
89.7,11.1148
89.8,11.1136
89.9,11.1123
90.0,11.1111
90.1,11.1099
90.2,11.1086
90.3,11.1074
90.4,11.1062
90.5,11.105
90.6,11.1038
90.7,11.1025
90.8,11.1013
90.9,11.1001
91.0,11.0989
91.1,11.0977
91.2,11.0965
91.3,11.0953
91.4,11.0941
91.5,11.0929
91.6,11.0917
91.7,11.0905
91.8,11.0893
91.9,11.0881
92.0,11.087
92.1,11.0858
92.2,11.0846
92.3,11.0834
92.4,11.0823
92.5,11.0811
92.6,11.0799
92.7,11.0787
92.8,11.0776
92.9,11.0764
93.0,11.0753
93.1,11.0741
93.2,11.073
93.3,11.0718
93.4,11.0707
93.5,11.0695
93.6,11.0684
93.7,11.0672
93.8,11.0661
93.9,11.065
94.0,11.0638
94.1,11.0627
94.2,11.0616
94.3,11.0604
94.4,11.0593
94.5,11.0582
94.6,11.0571
94.7,11.056
94.8,11.0549
94.9,11.0537
95.0,11.0526
95.1,11.0515
95.2,11.0504
95.3,11.0493
95.4,11.0482
95.5,11.0471
95.6,11.046
95.7,11.0449
95.8,11.0438
95.9,11.0428
96.0,11.0417
96.1,11.0406
96.2,11.0395
96.3,11.0384
96.4,11.0373
96.5,11.0363
96.6,11.0352
96.7,11.0341
96.8,11.0331
96.9,11.032
97.0,11.0309
97.1,11.0299
97.2,11.0288
97.3,11.0277
97.4,11.0267
97.5,11.0256
97.6,11.0246
97.7,11.0235
97.8,11.0225
97.9,11.0215
98.0,11.0204
98.1,11.0194
98.2,11.0183
98.3,11.0173
98.4,11.0163
98.5,11.0152
98.6,11.0142
98.7,11.0132
98.8,11.0121
98.9,11.0111
99.0,11.0101
99.1,11.0091
99.2,11.0081
99.3,11.007
99.4,11.006
99.5,11.005
99.6,11.004
99.7,11.003
99.8,11.002
99.9,11.001
100.0,11.0
100.1,10.999
100.2,10.998
100.3,10.997
100.4,10.996
100.5,10.995
100.6,10.994
100.7,10.993
100.8,10.9921
100.9,10.9911
