daily_demand,reorder_point
39.9,104.75
40.0,105.0
40.1,105.25
40.2,105.5
40.3,105.75
40.4,106.0
40.5,106.25
40.6,106.5
40.7,106.75
40.8,107.0
40.9,107.25
41.0,107.5
41.1,107.75
41.2,108.0
41.3,108.25
41.4,108.5
41.5,108.75
41.6,109.0
41.7,109.25
41.8,109.5
41.9,109.75
42.0,110.0
42.1,110.25
42.2,110.5
42.3,110.75
42.4,111.0
42.5,111.25
42.6,111.5
42.7,111.75
42.8,112.0
42.9,112.25
43.0,112.5
43.1,112.75
43.2,113.0
43.3,113.25
43.4,113.5
43.5,113.75
43.6,114.0
43.7,114.25
43.8,114.5
43.9,114.75
44.0,115.0
44.1,115.25
44.2,115.5
44.3,115.75
44.4,116.0
44.5,116.25
44.6,116.5
44.7,116.75
44.8,117.0
44.9,117.25
45.0,117.5
45.1,117.75
45.2,118.0
45.3,118.25
45.4,118.5
45.5,118.75
45.6,119.0
45.7,119.25
45.8,119.5
45.9,119.75
46.0,120.0
46.1,120.25
46.2,120.5
46.3,120.75
46.4,121.0
46.5,121.25
46.6,121.5
46.7,121.75
46.8,122.0
46.9,122.25
47.0,122.5
47.1,122.75
47.2,123.0
47.3,123.25
47.4,123.5
47.5,123.75
47.6,124.0
47.7,124.25
47.8,124.5
47.9,124.75
48.0,125.0
48.1,125.25
48.2,125.5
48.3,125.75
48.4,126.0
48.5,126.25
48.6,126.5
48.7,126.75
48.8,127.0
48.9,127.25
49.0,127.5
49.1,127.75
49.2,128.0
49.3,128.25
49.4,128.5
49.5,128.75
49.6,129.0
49.7,129.25
49.8,129.5
49.9,129.75
50.0,130.0
50.1,130.25
50.2,130.5
50.3,130.75
50.4,131.0
50.5,131.25
50.6,131.5
50.7,131.75
50.8,132.0
50.9,132.25
51.0,132.5
51.1,132.75
51.2,133.0
51.3,133.25
51.4,133.5
51.5,133.75
51.6,134.0
51.7,134.25
51.8,134.5
51.9,134.75
52.0,135.0
52.1,135.25
52.2,135.5
52.3,135.75
52.4,136.0
52.5,136.25
52.6,136.5
52.7,136.75
52.8,137.0
52.9,137.25
53.0,137.5
53.1,137.75
53.2,138.0
53.3,138.25
53.4,138.5
53.5,138.75
53.6,139.0
53.7,139.25
53.8,139.5
53.9,139.75
54.0,140.0
54.1,140.25
54.2,140.5
54.3,140.75
54.4,141.0
54.5,141.25
54.6,141.5
54.7,141.75
54.8,142.0
54.9,142.25
55.0,142.5
55.1,142.75
55.2,143.0
55.3,143.25
55.4,143.5
55.5,143.75
55.6,144.0
55.7,144.25
55.8,144.5
55.9,144.75
56.0,145.0
56.1,145.25
56.2,145.5
56.3,145.75
56.4,146.0
56.5,146.25
56.6,146.5
56.7,146.75
56.8,147.0
56.9,147.25
57.0,147.5
57.1,147.75
57.2,148.0
57.3,148.25
57.4,148.5
57.5,148.75
57.6,149.0
57.7,149.25
57.8,149.5
57.9,149.75
58.0,150.0
58.1,150.25
58.2,150.5
58.3,150.75
58.4,151.0
58.5,151.25
58.6,151.5
58.7,151.75
58.8,152.0
58.9,152.25
59.0,152.5
59.1,152.75
59.2,153.0
59.3,153.25
59.4,153.5
59.5,153.75
59.6,154.0
59.7,154.25
59.8,154.5
59.9,154.75
60.0,155.0
60.1,155.25
60.2,155.5
60.3,155.75
60.4,156.0
60.5,156.25
60.6,156.5
60.7,156.75
60.8,157.0
60.9,157.25
61.0,157.5
61.1,157.75
61.2,158.0
61.3,158.25
61.4,158.5
61.5,158.75
61.6,159.0
61.7,159.25
61.8,159.5
61.9,159.75
62.0,160.0
62.1,160.25
62.2,160.5
62.3,160.75
62.4,161.0
62.5,161.25
62.6,161.5
62.7,161.75
62.8,162.0
62.9,162.25
63.0,162.5
63.1,162.75
63.2,163.0
63.3,163.25
63.4,163.5
63.5,163.75
63.6,164.0
63.7,164.25
63.8,164.5
63.9,164.75
64.0,165.0
64.1,165.25
64.2,165.5
64.3,165.75
64.4,166.0
64.5,166.25
64.6,166.5
64.7,166.75
64.8,167.0
64.9,167.25
65.0,167.5
65.1,167.75
65.2,168.0
65.3,168.25
65.4,168.5
65.5,168.75
65.6,169.0
65.7,169.25
65.8,169.5
65.9,169.75
66.0,170.0
66.1,170.25
66.2,170.5
66.3,170.75
66.4,171.0
66.5,171.25
66.6,171.5
66.7,171.75
66.8,172.0
66.9,172.25
67.0,172.5
67.1,172.75
67.2,173.0
67.3,173.25
67.4,173.5
67.5,173.75
67.6,174.0
67.7,174.25
67.8,174.5
67.9,174.75
68.0,175.0
68.1,175.25
68.2,175.5
68.3,175.75
68.4,176.0
68.5,176.25
68.6,176.5
68.7,176.75
68.8,177.0
68.9,177.25
69.0,177.5
69.1,177.75
69.2,178.0
69.3,178.25
69.4,178.5
69.5,178.75
69.6,179.0
69.7,179.25
69.8,179.5
69.9,179.75
70.0,180.0
70.1,180.25
70.2,180.5
70.3,180.75
70.4,181.0
70.5,181.25
70.6,181.5
70.7,181.75
70.8,182.0
70.9,182.25
71.0,182.5
71.1,182.75
71.2,183.0
71.3,183.25
71.4,183.5
71.5,183.75
71.6,184.0
71.7,184.25
71.8,184.5
71.9,184.75
72.0,185.0
72.1,185.25
72.2,185.5
72.3,185.75
72.4,186.0
72.5,186.25
72.6,186.5
72.7,186.75
72.8,187.0
72.9,187.25
73.0,187.5
73.1,187.75
73.2,188.0
73.3,188.25
73.4,188.5
73.5,188.75
73.6,189.0
73.7,189.25
73.8,189.5
73.9,189.75
74.0,190.0
74.1,190.25
74.2,190.5
74.3,190.75
74.4,191.0
74.5,191.25
74.6,191.5
74.7,191.75
74.8,192.0
74.9,192.25
75.0,192.5
75.1,192.75
75.2,193.0
75.3,193.25
75.4,193.5
75.5,193.75
75.6,194.0
75.7,194.25
75.8,194.5
75.9,194.75
76.0,195.0
76.1,195.25
76.2,195.5
76.3,195.75
76.4,196.0
76.5,196.25
76.6,196.5
76.7,196.75
76.8,197.0
76.9,197.25
77.0,197.5
77.1,197.75
77.2,198.0
77.3,198.25
77.4,198.5
77.5,198.75
77.6,199.0
77.7,199.25
77.8,199.5
77.9,199.75
78.0,200.0
78.1,200.25
78.2,200.5
78.3,200.75
78.4,201.0
78.5,201.25
78.6,201.5
78.7,201.75
78.8,202.0
78.9,202.25
79.0,202.5
79.1,202.75
79.2,203.0
79.3,203.25
79.4,203.5
79.5,203.75
79.6,204.0
79.7,204.25
79.8,204.5
79.9,204.75
80.0,205.0
80.1,205.25
80.2,205.5
80.3,205.75
80.4,206.0
80.5,206.25
80.6,206.5
80.7,206.75
80.8,207.0
80.9,207.25
81.0,207.5
81.1,207.75
81.2,208.0
81.3,208.25
81.4,208.5
81.5,208.75
81.6,209.0
81.7,209.25
81.8,209.5
81.9,209.75
82.0,210.0
82.1,210.25
82.2,210.5
82.3,210.75
82.4,211.0
82.5,211.25
82.6,211.5
82.7,211.75
82.8,212.0
82.9,212.25
83.0,212.5
83.1,212.75
83.2,213.0
83.3,213.25
83.4,213.5
83.5,213.75
83.6,214.0
83.7,214.25
83.8,214.5
83.9,214.75
84.0,215.0
84.1,215.25
84.2,215.5
84.3,215.75
84.4,216.0
84.5,216.25
84.6,216.5
84.7,216.75
84.8,217.0
84.9,217.25
85.0,217.5
85.1,217.75
85.2,218.0
85.3,218.25
85.4,218.5
85.5,218.75
85.6,219.0
85.7,219.25
85.8,219.5
85.9,219.75
86.0,220.0
86.1,220.25
86.2,220.5
86.3,220.75
86.4,221.0
86.5,221.25
86.6,221.5
86.7,221.75
86.8,222.0
86.9,222.25
87.0,222.5
87.1,222.75
87.2,223.0
87.3,223.25
87.4,223.5
87.5,223.75
87.6,224.0
87.7,224.25
87.8,224.5
87.9,224.75
88.0,225.0
88.1,225.25
88.2,225.5
88.3,225.75
88.4,226.0
88.5,226.25
88.6,226.5
88.7,226.75
88.8,227.0
88.9,227.25
89.0,227.5
89.1,227.75
89.2,228.0
89.3,228.25
89.4,228.5
89.5,228.75
89.6,229.0
89.7,229.25
89.8,229.5
89.9,229.75
90.0,230.0
90.1,230.25
90.2,230.5
90.3,230.75
90.4,231.0
90.5,231.25
90.6,231.5
90.7,231.75
90.8,232.0
90.9,232.25
91.0,232.5
91.1,232.75
91.2,233.0
91.3,233.25
91.4,233.5
91.5,233.75
91.6,234.0
91.7,234.25
91.8,234.5
91.9,234.75
92.0,235.0
92.1,235.25
92.2,235.5
92.3,235.75
92.4,236.0
92.5,236.25
92.6,236.5
92.7,236.75
92.8,237.0
92.9,237.25
93.0,237.5
93.1,237.75
93.2,238.0
93.3,238.25
93.4,238.5
93.5,238.75
93.6,239.0
93.7,239.25
93.8,239.5
93.9,239.75
94.0,240.0
94.1,240.25
94.2,240.5
94.3,240.75
94.4,241.0
94.5,241.25
94.6,241.5
94.7,241.75
94.8,242.0
94.9,242.25
95.0,242.5
95.1,242.75
95.2,243.0
95.3,243.25
95.4,243.5
95.5,243.75
95.6,244.0
95.7,244.25
95.8,244.5
95.9,244.75
96.0,245.0
96.1,245.25
96.2,245.5
96.3,245.75
96.4,246.0
96.5,246.25
96.6,246.5
96.7,246.75
96.8,247.0
96.9,247.25
97.0,247.5
97.1,247.75
97.2,248.0
97.3,248.25
97.4,248.5
97.5,248.75
97.6,249.0
97.7,249.25
97.8,249.5
97.9,249.75
98.0,250.0
98.1,250.25
98.2,250.5
98.3,250.75
98.4,251.0
98.5,251.25
98.6,251.5
98.7,251.75
98.8,252.0
98.9,252.25
99.0,252.5
99.1,252.75
99.2,253.0
99.3,253.25
99.4,253.5
99.5,253.75
99.6,254.0
99.7,254.25
99.8,254.5
99.9,254.75
100.0,255.0
100.1,255.25
100.2,255.5
100.3,255.75
100.4,256.0
100.5,256.25
100.6,256.5
100.7,256.75
100.8,257.0
100.9,257.25
